中国联通-辽宁-酒店,#genre#
辽宁都市,http://fxgm.fxjf.work:19901/tsfile/live/1000_1.m3u8
辽宁影视,http://fxgm.fxjf.work:19901/tsfile/live/1001_1.m3u8
辽宁体育,http://fxgm.fxjf.work:19901/tsfile/live/1003_1.m3u8
辽宁生活,http://fxgm.fxjf.work:19901/tsfile/live/1004_1.m3u8
辽宁教育青少,http://fxgm.fxjf.work:19901/tsfile/live/1005_1.m3u8
辽宁北方,http://fxgm.fxjf.work:19901/tsfile/live/1006_1.m3u8
辽宁公共,http://fxgm.fxjf.work:19901/tsfile/live/1007_1.m3u8
辽宁经济,http://fxgm.fxjf.work:19901/tsfile/live/1008_1.m3u8
辽宁移动电视,http://fxgm.fxjf.work:19901/tsfile/live/1009_1.m3u8
海南卫视,http://fxgm.fxjf.work:19901/tsfile/live/1010_1.m3u8
延边卫视,http://fxgm.fxjf.work:19901/tsfile/live/1011_1.m3u8
金鹰卡通,http://fxgm.fxjf.work:19901/tsfile/live/1012_1.m3u8
优漫卡通,http://fxgm.fxjf.work:19901/tsfile/live/1013_1.m3u8
家庭影院,http://fxgm.fxjf.work:19901/tsfile/live/1014_1.m3u8
动作电影,http://fxgm.fxjf.work:19901/tsfile/live/1015_1.m3u8
电影,http://fxgm.fxjf.work:19901/tsfile/live/1016_1.m3u8
中国联通-河南-酒店,#genre#
CCTV1,http://61.136.67.238:50085/tsfile/live/0001_1.m3u8
CCTV2,http://61.136.67.238:50085/tsfile/live/0002_1.m3u8
CCTV3,http://61.136.67.238:50085/tsfile/live/0003_1.m3u8
CCTV4,http://61.136.67.238:50085/tsfile/live/0004_1.m3u8
CCTV5,http://61.136.67.238:50085/tsfile/live/0005_1.m3u8
CCTV6,http://61.136.67.238:50085/tsfile/live/0007_1.m3u8
CCTV7,http://61.136.67.238:50085/tsfile/live/0008_1.m3u8
CCTV8,http://61.136.67.238:50085/tsfile/live/0009_1.m3u8
CCTV9,http://61.136.67.238:50085/tsfile/live/0010_1.m3u8
CCTV10,http://61.136.67.238:50085/tsfile/live/0011_1.m3u8
CCTV12,http://61.136.67.238:50085/tsfile/live/0012_1.m3u8
CCTV13,http://61.136.67.238:50085/tsfile/live/0013_1.m3u8
CCTV14,http://61.136.67.238:50085/tsfile/live/0014_1.m3u8
CCTV15,http://61.136.67.238:50085/tsfile/live/0015_1.m3u8
河南卫视,http://61.136.67.238:50085/tsfile/live/0016_1.m3u8
都市,http://61.136.67.238:50085/tsfile/live/0017_1.m3u8
民生,http://61.136.67.238:50085/tsfile/live/0018_1.m3u8
法制,http://61.136.67.238:50085/tsfile/live/0019_1.m3u8
电视剧,http://61.136.67.238:50085/tsfile/live/1000_1.m3u8
新闻,http://61.136.67.238:50085/tsfile/live/1001_1.m3u8
公共,http://61.136.67.238:50085/tsfile/live/1002_1.m3u8
新农村,http://61.136.67.238:50085/tsfile/live/1003_1.m3u8
浙江卫视,http://61.136.67.238:50085/tsfile/live/0124_1.m3u8
上海卫视,http://61.136.67.238:50085/tsfile/live/0107_1.m3u8
江苏卫视,http://61.136.67.238:50085/tsfile/live/0127_1.m3u8
北京卫视,http://61.136.67.238:50085/tsfile/live/0122_1.m3u8
广东卫视,http://61.136.67.238:50085/tsfile/live/0125_1.m3u8
黑龙江卫视,http://61.136.67.238:50085/tsfile/live/0143_1.m3u8
山东卫视,http://61.136.67.238:50085/tsfile/live/0131_1.m3u8
安徽卫视,http://61.136.67.238:50085/tsfile/live/0130_1.m3u8
辽宁卫视,http://61.136.67.238:50085/tsfile/live/0121_1.m3u8
陕西卫视,http://61.136.67.238:50085/tsfile/live/0136_1.m3u8
贵州卫视,http://61.136.67.238:50085/tsfile/live/0120_1.m3u8
河北卫视,http://61.136.67.238:50085/tsfile/live/0117_1.m3u8
江西卫视,http://61.136.67.238:50085/tsfile/live/0138_1.m3u8
湖南卫视,http://61.136.67.238:50085/tsfile/live/0128_1.m3u8
深圳卫视,http://61.136.67.238:50085/tsfile/live/0126_1.m3u8
四川卫视,http://61.136.67.238:50085/tsfile/live/0123_1.m3u8
湖北卫视,http://61.136.67.238:50085/tsfile/live/0132_1.m3u8
天津卫视,http://61.136.67.238:50085/tsfile/live/0135_1.m3u8
云南卫视,http://61.136.67.238:50085/tsfile/live/0119_1.m3u8
重庆卫视,http://61.136.67.238:50085/tsfile/live/0142_1.m3u8
吉林卫视,http://61.136.67.238:50085/tsfile/live/0116_1.m3u8
宁夏卫视,http://61.136.67.238:50085/tsfile/live/0112_1.m3u8
东南卫视,http://61.136.67.238:50085/tsfile/live/0137_1.m3u8
内蒙古卫视,http://61.136.67.238:50085/tsfile/live/0109_1.m3u8
广西卫视,http://61.136.67.238:50085/tsfile/live/0113_1.m3u8
中国联通-四川-酒店,#genre#
CCTV1,http://175.155.98.11:9901/tsfile/live/1000_1.m3u8
CCTV2,http://175.155.98.11:9901/tsfile/live/1002_1.m3u8
CCTV3,http://175.155.98.11:9901/tsfile/live/1003_1.m3u8
CCTV4,http://175.155.98.11:9901/tsfile/live/1004_1.m3u8
CCTV5,http://175.155.98.11:9901/tsfile/live/1006_1.m3u8
CCTV6,http://175.155.98.11:9901/tsfile/live/1007_1.m3u8
CCTV7,http://175.155.98.11:9901/tsfile/live/1008_1.m3u8
CCTV8,http://175.155.98.11:9901/tsfile/live/1009_1.m3u8
CCTV9,http://175.155.98.11:9901/tsfile/live/1011_1.m3u8
CCTV10,http://175.155.98.11:9901/tsfile/live/1012_1.m3u8
CCTV11,http://175.155.98.11:9901/tsfile/live/1013_1.m3u8
CCTV12,http://175.155.98.11:9901/tsfile/live/1014_1.m3u8
CCTV13,http://175.155.98.11:9901/tsfile/live/1015_1.m3u8
CCTV14,http://175.155.98.11:9901/tsfile/live/1016_1.m3u8
CCTV15,http://175.155.98.11:9901/tsfile/live/1017_1.m3u8
CCTV5+,http://175.155.98.11:9901/tsfile/live/1028_1.m3u8
四川卫视,http://175.155.98.11:9901/tsfile/live/1018_1.m3u8
北京卫视,http://175.155.98.11:9901/tsfile/live/1019_1.m3u8
天津卫视,http://175.155.98.11:9901/tsfile/live/1020_1.m3u8
山东卫视,http://175.155.98.11:9901/tsfile/live/1021_1.m3u8
江苏卫视,http://175.155.98.11:9901/tsfile/live/1022_1.m3u8
浙江卫视,http://175.155.98.11:9901/tsfile/live/1023_1.m3u8
上海卫视,http://175.155.98.11:9901/tsfile/live/1024_1.m3u8
安徽卫视,http://175.155.98.11:9901/tsfile/live/1025_1.m3u8
湖北卫视,http://175.155.98.11:9901/tsfile/live/1026_1.m3u8
湖南卫视,http://175.155.98.11:9901/tsfile/live/1027_1.m3u8
广东卫视,http://175.155.98.11:9901/tsfile/live/1029_1.m3u8
深圳卫视,http://175.155.98.11:9901/tsfile/live/1030_1.m3u8
黑龙江卫视,http://175.155.98.11:9901/tsfile/live/1031_1.m3u8
辽宁卫视,http://175.155.98.11:9901/tsfile/live/1032_1.m3u8
河南卫视,http://175.155.98.11:9901/tsfile/live/1033_1.m3u8
江西卫视,http://175.155.98.11:9901/tsfile/live/1034_1.m3u8
贵州卫视,http://175.155.98.11:9901/tsfile/live/1035_1.m3u8
宁夏卫视,http://175.155.98.11:9901/tsfile/live/1036_1.m3u8
青海卫视,http://175.155.98.11:9901/tsfile/live/1037_1.m3u8
新疆卫视,http://175.155.98.11:9901/tsfile/live/1038_1.m3u8
海南卫视,http://175.155.98.11:9901/tsfile/live/1001_1.m3u8
金鹰卡通,http://175.155.98.11:9901/tsfile/live/1039_1.m3u8
甘肃卫视,http://175.155.98.11:9901/tsfile/live/1040_1.m3u8
西藏卫视,http://175.155.98.11:9901/tsfile/live/1041_1.m3u8
金鹰卡通,http://175.155.98.11:9901/tsfile/live/1042_1.m3u8
卡酷少儿,http://175.155.98.11:9901/tsfile/live/1043_1.m3u8
SCTV影视文艺,http://175.155.98.11:9901/tsfile/live/1005_1.m3u8
SCTV新闻,http://175.155.98.11:9901/tsfile/live/1044_1.m3u8
SCTV妇女儿童,http://175.155.98.11:9901/tsfile/live/1045_1.m3u8
SCTV科教,http://175.155.98.11:9901/tsfile/live/1046_1.m3u8
SCTV公共乡村,http://175.155.98.11:9901/tsfile/live/1047_1.m3u8
SCTV康巴卫视,http://175.155.98.11:9901/tsfile/live/1010_1.m3u8
SCTV峨眉电影,http://175.155.98.11:9901/tsfile/live/1048_1.m3u8
SCTV国际,http://175.155.98.11:9901/tsfile/live/1049_1.m3u8
中国联通-河北-酒店,#genre#
CCTV1,http://221.193.168.234:9901/tsfile/live/0001_1.m3u8
CCTV2,http://221.193.168.234:9901/tsfile/live/0002_1.m3u8
CCTV3,http://221.193.168.234:9901/tsfile/live/0003_1.m3u8
CCTV4,http://221.193.168.234:9901/tsfile/live/0004_1.m3u8
CCTV5,http://221.193.168.234:9901/tsfile/live/0005_1.m3u8
CCTV6,http://221.193.168.234:9901/tsfile/live/0006_1.m3u8
CCTV7,http://221.193.168.234:9901/tsfile/live/0007_1.m3u8
CCTV8,http://221.193.168.234:9901/tsfile/live/0008_1.m3u8
CCTV9,http://221.193.168.234:9901/tsfile/live/0009_1.m3u8
CCTV10,http://221.193.168.234:9901/tsfile/live/0010_1.m3u8
CCTV11,http://221.193.168.234:9901/tsfile/live/0011_1.m3u8
CCTV12,http://221.193.168.234:9901/tsfile/live/0012_1.m3u8
CCTV13,http://221.193.168.234:9901/tsfile/live/0013_1.m3u8
CCTV14,http://221.193.168.234:9901/tsfile/live/0014_1.m3u8
CCTV14,http://221.193.168.234:9901/tsfile/live/0014_2.m3u8
CCTV15,http://221.193.168.234:9901/tsfile/live/0015_1.m3u8
CCTV15,http://221.193.168.234:9901/tsfile/live/0015_2.m3u8
浙江卫视,http://221.193.168.234:9901/tsfile/live/0124_1.m3u8
江苏卫视,http://221.193.168.234:9901/tsfile/live/0127_1.m3u8
上海卫视,http://221.193.168.234:9901/tsfile/live/0107_1.m3u8
湖南卫视,http://221.193.168.234:9901/tsfile/live/0128_1.m3u8
北京卫视,http://221.193.168.234:9901/tsfile/live/0122_1.m3u8
中国联通-湖南-酒店,#genre#
CCTV1,http://110.53.218.182:9902/tsfile/live/0001_1.m3u8
CCTV1,http://110.53.218.182:9902/tsfile/live/0001_1.m3u8
CCTV2,http://110.53.218.182:9902/tsfile/live/0002_1.m3u8
CCTV2,http://110.53.218.182:9902/tsfile/live/0002_1.m3u8
CCTV3,http://110.53.218.182:9902/tsfile/live/0003_1.m3u8
CCTV3,http://110.53.218.182:9902/tsfile/live/0003_1.m3u8
CCTV4,http://110.53.218.182:9902/tsfile/live/0004_1.m3u8
CCTV4,http://110.53.218.182:9902/tsfile/live/0004_1.m3u8
CCTV5,http://110.53.218.182:9902/tsfile/live/0005_1.m3u8
CCTV5,http://110.53.218.182:9902/tsfile/live/0005_1.m3u8
CCTV6,http://110.53.218.182:9902/tsfile/live/0006_1.m3u8
CCTV6,http://110.53.218.182:9902/tsfile/live/0006_1.m3u8
CCTV7,http://110.53.218.182:9902/tsfile/live/0007_1.m3u8
CCTV7,http://110.53.218.182:9902/tsfile/live/0007_1.m3u8
CCTV8,http://110.53.218.182:9902/tsfile/live/0008_1.m3u8
CCTV8,http://110.53.218.182:9902/tsfile/live/0008_1.m3u8
CCTV9,http://110.53.218.182:9902/tsfile/live/0009_1.m3u8
CCTV9,http://110.53.218.182:9902/tsfile/live/0009_1.m3u8
CCTV10,http://110.53.218.182:9902/tsfile/live/0010_1.m3u8
CCTV10,http://110.53.218.182:9902/tsfile/live/0010_1.m3u8
CCTV11,http://110.53.218.182:9902/tsfile/live/0011_1.m3u8
CCTV11,http://110.53.218.182:9902/tsfile/live/0011_1.m3u8
CCTV12,http://110.53.218.182:9902/tsfile/live/0012_1.m3u8
CCTV12,http://110.53.218.182:9902/tsfile/live/0012_1.m3u8
CCTV13,http://110.53.218.182:9902/tsfile/live/0013_1.m3u8
CCTV13,http://110.53.218.182:9902/tsfile/live/0013_1.m3u8
CCTV14,http://110.53.218.182:9902/tsfile/live/0014_1.m3u8
CCTV14,http://110.53.218.182:9902/tsfile/live/0014_1.m3u8
CCTV15,http://110.53.218.182:9902/tsfile/live/0015_1.m3u8
CCTV15,http://110.53.218.182:9902/tsfile/live/0015_1.m3u8
湖南卫视,http://110.53.218.182:9902/tsfile/live/1000_1.m3u8
湖南都市,http://110.53.218.182:9902/tsfile/live/0127_1.m3u8
湖南都市,http://110.53.218.182:9902/tsfile/live/0127_1.m3u8
卡酷少儿,http://110.53.218.182:9902/tsfile/live/0124_1.m3u8
卡酷少儿,http://110.53.218.182:9902/tsfile/live/0124_1.m3u8
安徽卫视,http://110.53.218.182:9902/tsfile/live/0130_1.m3u8
安徽卫视,http://110.53.218.182:9902/tsfile/live/0130_1.m3u8
北京卫视,http://110.53.218.182:9902/tsfile/live/0122_1.m3u8
北京卫视,http://110.53.218.182:9902/tsfile/live/0122_1.m3u8
天津卫视,http://110.53.218.182:9902/tsfile/live/0135_1.m3u8
天津卫视,http://110.53.218.182:9902/tsfile/live/0135_1.m3u8
山东卫视,http://110.53.218.182:9902/tsfile/live/0107_1.m3u8
山东卫视,http://110.53.218.182:9902/tsfile/live/0107_1.m3u8
黑龙江卫视,http://110.53.218.182:9902/tsfile/live/0138_1.m3u8
黑龙江卫视,http://110.53.218.182:9902/tsfile/live/0138_1.m3u8
辽宁卫视,http://110.53.218.182:9902/tsfile/live/0121_1.m3u8
辽宁卫视,http://110.53.218.182:9902/tsfile/live/0121_1.m3u8
广东卫视,http://110.53.218.182:9902/tsfile/live/0125_1.m3u8
广东卫视,http://110.53.218.182:9902/tsfile/live/0125_1.m3u8
湖北卫视,http://110.53.218.182:9902/tsfile/live/0132_1.m3u8
湖北卫视,http://110.53.218.182:9902/tsfile/live/0132_1.m3u8
贵州卫视,http://110.53.218.182:9902/tsfile/live/0120_1.m3u8
贵州卫视,http://110.53.218.182:9902/tsfile/live/0120_1.m3u8
河北卫视,http://110.53.218.182:9902/tsfile/live/0117_1.m3u8
河北卫视,http://110.53.218.182:9902/tsfile/live/0117_1.m3u8
江苏卫视,http://110.53.218.182:9902/tsfile/live/0127_2.m3u8
江苏卫视,http://110.53.218.182:9902/tsfile/live/0127_2.m3u8
浙江卫视,http://110.53.218.182:9902/tsfile/live/0124_2.m3u8
浙江卫视,http://110.53.218.182:9902/tsfile/live/0124_2.m3u8
西藏卫视,http://110.53.218.182:9902/tsfile/live/1005_1.m3u8
吉林卫视,http://110.53.218.182:9902/tsfile/live/0116_1.m3u8
吉林卫视,http://110.53.218.182:9902/tsfile/live/0116_1.m3u8
宁夏卫视,http://110.53.218.182:9902/tsfile/live/0112_1.m3u8
宁夏卫视,http://110.53.218.182:9902/tsfile/live/0112_1.m3u8
江西卫视,http://110.53.218.182:9902/tsfile/live/0138_2.m3u8
江西卫视,http://110.53.218.182:9902/tsfile/live/0138_2.m3u8
优漫卡通,http://110.53.218.182:9902/tsfile/live/1006_1.m3u8
上海卫视,http://110.53.218.182:9902/tsfile/live/0107_2.m3u8
上海卫视,http://110.53.218.182:9902/tsfile/live/0107_2.m3u8
东南卫视,http://110.53.218.182:9902/tsfile/live/0137_1.m3u8
东南卫视,http://110.53.218.182:9902/tsfile/live/0137_1.m3u8
海南卫视,http://110.53.218.182:9902/tsfile/live/1009_1.m3u8
四川卫视,http://110.53.218.182:9902/tsfile/live/0123_1.m3u8
四川卫视,http://110.53.218.182:9902/tsfile/live/0123_1.m3u8
重庆卫视,http://110.53.218.182:9902/tsfile/live/0142_1.m3u8
重庆卫视,http://110.53.218.182:9902/tsfile/live/0142_1.m3u8
广西卫视,http://110.53.218.182:9902/tsfile/live/0113_1.m3u8
广西卫视,http://110.53.218.182:9902/tsfile/live/0113_1.m3u8
云南卫视,http://110.53.218.182:9902/tsfile/live/0119_1.m3u8
云南卫视,http://110.53.218.182:9902/tsfile/live/0119_1.m3u8
陕西卫视,http://110.53.218.182:9902/tsfile/live/0136_1.m3u8
陕西卫视,http://110.53.218.182:9902/tsfile/live/0136_1.m3u8
山西卫视,http://110.53.218.182:9902/tsfile/live/0118_1.m3u8
山西卫视,http://110.53.218.182:9902/tsfile/live/0118_1.m3u8
新疆卫视,http://110.53.218.182:9902/tsfile/live/1008_1.m3u8
南方卫视,http://110.53.218.182:9902/tsfile/live/1002_1.m3u8
青海卫视,http://110.53.218.182:9902/tsfile/live/0140_1.m3u8
青海卫视,http://110.53.218.182:9902/tsfile/live/0140_1.m3u8
湖南经视,http://110.53.218.182:9902/tsfile/live/1004_1.m3u8
内蒙古卫视,http://110.53.218.182:9902/tsfile/live/1007_1.m3u8
中国联通-福建-酒店,#genre#
CCTV1,http://58.23.27.171:9901/tsfile/live/0001_1.m3u8
CCTV2,http://58.23.27.171:9901/tsfile/live/0002_1.m3u8
CCTV3,http://58.23.27.171:9901/tsfile/live/0003_1.m3u8
CCTV5,http://58.23.27.171:9901/tsfile/live/0141_1.m3u8
CCTV6,http://58.23.27.171:9901/tsfile/live/0006_1.m3u8
CCTV7,http://58.23.27.171:9901/tsfile/live/0008_1.m3u8
CCTV8,http://58.23.27.171:9901/tsfile/live/0010_1.m3u8
CCTV10,http://58.23.27.171:9901/tsfile/live/0012_1.m3u8
CCTV9,http://58.23.27.171:9901/tsfile/live/0011_1.m3u8
CCTV11,http://58.23.27.171:9901/tsfile/live/0013_1.m3u8
CCTV12,http://58.23.27.171:9901/tsfile/live/0014_1.m3u8
CCTV13,http://58.23.27.171:9901/tsfile/live/0015_1.m3u8
CCTV14,http://58.23.27.171:9901/tsfile/live/1000_1.m3u8
CCTV15,http://58.23.27.171:9901/tsfile/live/0019_1.m3u8
CCTV17,http://58.23.27.171:9901/tsfile/live/1001_1.m3u8
湖南卫视,http://58.23.27.171:9901/tsfile/live/0128_1.m3u8
江苏卫视,http://58.23.27.171:9901/tsfile/live/0127_1.m3u8
上海卫视,http://58.23.27.171:9901/tsfile/live/0107_1.m3u8
浙江卫视,http://58.23.27.171:9901/tsfile/live/0124_1.m3u8
北京卫视,http://58.23.27.171:9901/tsfile/live/0122_1.m3u8
山东卫视,http://58.23.27.171:9901/tsfile/live/0131_1.m3u8
湖北卫视,http://58.23.27.171:9901/tsfile/live/0132_1.m3u8
黑龙江卫视,http://58.23.27.171:9901/tsfile/live/0143_1.m3u8
安徽卫视,http://58.23.27.171:9901/tsfile/live/0130_1.m3u8
天津卫视,http://58.23.27.171:9901/tsfile/live/0135_1.m3u8
四川卫视,http://58.23.27.171:9901/tsfile/live/0123_1.m3u8
江西卫视,http://58.23.27.171:9901/tsfile/live/0138_1.m3u8
辽宁卫视,http://58.23.27.171:9901/tsfile/live/0121_1.m3u8
重庆卫视,http://58.23.27.171:9901/tsfile/live/0142_1.m3u8
河北卫视,http://58.23.27.171:9901/tsfile/live/0117_1.m3u8
云南卫视,http://58.23.27.171:9901/tsfile/live/0119_1.m3u8
河南卫视,http://58.23.27.171:9901/tsfile/live/0139_1.m3u8
海南卫视,http://58.23.27.171:9901/tsfile/live/1002_1.m3u8
广西卫视,http://58.23.27.171:9901/tsfile/live/0113_1.m3u8
陕西卫视,http://58.23.27.171:9901/tsfile/live/0136_1.m3u8
青海卫视,http://58.23.27.171:9901/tsfile/live/0140_1.m3u8
宁夏卫视,http://58.23.27.171:9901/tsfile/live/0112_1.m3u8
吉林卫视,http://58.23.27.171:9901/tsfile/live/1003_1.m3u8
山西卫视,http://58.23.27.171:9901/tsfile/live/0118_1.m3u8
内蒙古卫视,http://58.23.27.171:9901/tsfile/live/0109_1.m3u8
新疆卫视,http://58.23.27.171:9901/tsfile/live/0110_1.m3u8
南方卫视,http://58.23.27.171:9901/tsfile/live/1004_1.m3u8
东南卫视,http://58.23.27.171:9901/tsfile/live/0137_1.m3u8
CCTV5+,http://58.23.27.171:9901/tsfile/live/0016_1.m3u8
中国联通-山西-酒店,#genre#
CCTV1,http://221.205.129.229:9999/tsfile/live/0001_1.m3u8
CCTV2,http://221.205.129.229:9999/tsfile/live/0002_1.m3u8
CCTV3,http://221.205.129.229:9999/tsfile/live/0003_1.m3u8
CCTV4,http://221.205.129.229:9999/tsfile/live/0004_1.m3u8
CCTV5,http://221.205.129.229:9999/tsfile/live/0005_1.m3u8
CCTV6,http://221.205.129.229:9999/tsfile/live/0006_1.m3u8
CCTV7,http://221.205.129.229:9999/tsfile/live/0007_1.m3u8
CCTV8,http://221.205.129.229:9999/tsfile/live/0008_1.m3u8
CCTV9,http://221.205.129.229:9999/tsfile/live/0009_1.m3u8
CCTV10,http://221.205.129.229:9999/tsfile/live/0010_1.m3u8
CCTV11,http://221.205.129.229:9999/tsfile/live/0011_1.m3u8
CCTV12,http://221.205.129.229:9999/tsfile/live/0012_1.m3u8
CCTV13,http://221.205.129.229:9999/tsfile/live/0013_1.m3u8
CCTV14,http://221.205.129.229:9999/tsfile/live/0014_1.m3u8
CCTV15,http://221.205.129.229:9999/tsfile/live/0015_1.m3u8
山西卫视,http://221.205.129.229:9999/tsfile/live/0118_1.m3u8
湖南卫视,http://221.205.129.229:9999/tsfile/live/0128_1.m3u8
浙江卫视,http://221.205.129.229:9999/tsfile/live/0124_1.m3u8
广东卫视,http://221.205.129.229:9999/tsfile/live/0125_1.m3u8
深圳卫视,http://221.205.129.229:9999/tsfile/live/0126_1.m3u8
天津卫视,http://221.205.129.229:9999/tsfile/live/0135_1.m3u8
山东卫视,http://221.205.129.229:9999/tsfile/live/0131_1.m3u8
重庆卫视,http://221.205.129.229:9999/tsfile/live/0142_1.m3u8
金鹰卡通,http://221.205.129.229:9999/tsfile/live/1000_1.m3u8
湖北卫视,http://221.205.129.229:9999/tsfile/live/0132_1.m3u8
黑龙江卫视,http://221.205.129.229:9999/tsfile/live/0143_1.m3u8
辽宁卫视,http://221.205.129.229:9999/tsfile/live/0121_1.m3u8
上海卫视,http://221.205.129.229:9999/tsfile/live/0107_1.m3u8
江苏卫视,http://221.205.129.229:9999/tsfile/live/0127_1.m3u8
北京卫视,http://221.205.129.229:9999/tsfile/live/0122_1.m3u8
四川卫视,http://221.205.129.229:9999/tsfile/live/0123_1.m3u8
河南卫视,http://221.205.129.229:9999/tsfile/live/0139_1.m3u8
贵州卫视,http://221.205.129.229:9999/tsfile/live/0120_1.m3u8
东南卫视,http://221.205.129.229:9999/tsfile/live/0137_1.m3u8
广西卫视,http://221.205.129.229:9999/tsfile/live/0113_1.m3u8
江西卫视,http://221.205.129.229:9999/tsfile/live/0138_1.m3u8
吉林卫视,http://221.205.129.229:9999/tsfile/live/0116_1.m3u8
青海卫视,http://221.205.129.229:9999/tsfile/live/0140_1.m3u8
安徽卫视,http://221.205.129.229:9999/tsfile/live/0130_1.m3u8
陕西卫视,http://221.205.129.229:9999/tsfile/live/0136_1.m3u8
中国联通-吉林-酒店,#genre#
CCTV1,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8
CCTV2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8
CCTV3,http://61.138.128.226:19901/tsfile/live/0003_1.m3u8
CCTV4,http://61.138.128.226:19901/tsfile/live/0004_1.m3u8
CCTV5,http://61.138.128.226:19901/tsfile/live/0005_1.m3u8
CCTV6,http://61.138.128.226:19901/tsfile/live/0006_1.m3u8
CCTV7,http://61.138.128.226:19901/tsfile/live/0008_1.m3u8
CCTV8,http://61.138.128.226:19901/tsfile/live/0009_1.m3u8
CCTV9,http://61.138.128.226:19901/tsfile/live/0009_2.m3u8
CCTV10,http://61.138.128.226:19901/tsfile/live/0011_1.m3u8
CCTV11,http://61.138.128.226:19901/tsfile/live/0011_2.m3u8
CCTV12,http://61.138.128.226:19901/tsfile/live/0013_1.m3u8
CCTV13,http://61.138.128.226:19901/tsfile/live/0013_2.m3u8
CCTV14,http://61.138.128.226:19901/tsfile/live/0015_1.m3u8
CCTV15,http://61.138.128.226:19901/tsfile/live/0019_1.m3u8
